Node,Value,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0
50,1.8556,2.0392799999999998,2.1493279999999997,2.2153248,2.25491648,2.278670208,2.2929221888,2.30147332608,2.306603998208,2.3096823994368,2.31152943976448,2.312637663879168,2.313302598331597,2.3137015589997776,2.3139409354000304,2.314084561240051,2.314170736744037,2.3142224420464235,2.3142534652278544,2.3142720791367126,2.3142832474820274,2.3142899484892165
51,1.5999,1.88586,2.057276,2.1600935999999997,2.2217777599999997,2.2587869759999997,2.2809922495999997,2.29431536256,2.3023092200960003,2.3071055325696004,2.3099833196441604,2.3117099918069766,2.312745995088282,2.3133675970537886,2.3137405582324373,2.313964334939495,2.314098600963704,2.314179160578224,2.3142274963469345,2.314256497808161,2.3142738986848963,2.314284339210938
52,1.704,1.94832,2.094752,2.1825792,2.23526912,2.2668817919999995,2.2858491391999998,2.29722949632,2.304057700352,2.3081546207232004,2.31061277253632,2.3120876635422722,2.3129725981294595,2.3135035588784953,2.3138221353272614,2.31401328119639,2.3141279687178407,2.314196781230706,2.314238068738424,2.314262841243054,2.3142777047458325,2.3142866228475
53,2.8482,2.6344399999999997,2.506344,2.4295184,2.38342944,2.3557773440000003,2.3391863424000006,2.3292317926400004,2.3232590730240004,2.3196754433024003,2.3175252658790404,2.3162351595069444,2.315461095700071,2.3149966574192233,2.3147179944513705,2.3145507966707894,2.3144504780024673,2.314390286801479,2.314354172080887,2.314332503248532,2.314319501949119,2.3143117011694714
55,2.7068,2.5496,2.45544,2.398976,2.365104,2.3447820800000003,2.3325891840000006,2.3252734976000005,2.3208840960000003,2.3182504570880003,2.3166702741504004,2.3157221644697605,2.3151532986777603,2.314811979205837,2.3146071875233387,2.3144843125139705,2.314410587508376,2.314366352505024,2.314339811503014,2.3143238869018083,2.314314332141085,2.314308599284651
56,1.2127,1.65354,1.917884,2.0764584,2.1715966399999997,2.2286783039999998,2.2629270463999998,2.2834762406399998,2.295805746944,2.3032034486784,2.3076420693094404,2.3103052416061445,2.3119031449677827,2.312861886981489,2.3134371321890574,2.3137822793134672,2.3139893675880874,2.314113620552854,2.3141881723317126,2.3142329033990277,2.3142597420394164,2.3142758452236496
57,2.2929,2.30166,2.306756,2.3097816,2.31159056,2.3126746559999996,2.3133248575999996,2.31371492736,2.3139489589760003,2.3140893758976,2.31417362564096,2.314224175405056,2.3142545052471295,2.314272703149097,2.314283621889622,2.314290173133806,2.3142941038802904,2.3142964623281754,2.3142978773969056,2.3142987264381434,2.3142992358628858,2.314299541517731
58,1.5292,1.84344,2.031824,2.1448224,2.2126150399999998,2.2532893439999997,2.2776936703999997,2.2923362150399997,2.301121731584,2.3063930394624,2.3095558237798404,2.3114534942883846,2.3125920965771267,2.3132752579470957,2.3136851547684216,2.3139310928610857,2.314078655716658,2.3141671934299963,2.314220316057998,2.314252189634799,2.3142713137808792,2.3142827882685273
60,4.4043,3.5681000000000003,3.06654,2.7656359999999998,2.5850999999999997,2.47677968,2.4117877439999997,2.3727926336,2.3493955776,2.335357346048,2.3269344075264002,2.3218806444953604,2.31884838669312,2.317029032015053,2.315937419208868,2.315282451525288,2.3148894709151664,2.314653682549099,2.3145122095294592,2.3144273257176753,2.314376395430605,2.314345837258363
63,1.2606,1.68228,1.9351280000000002,2.0868048,2.17780448,2.2324030079999995,2.2651618688,2.28481713408,2.296610283008,2.3036861703168,2.30793170229248,2.3104790213959685,2.312007412841677,2.312924447705826,2.31347466862366,2.3138048011742285,2.314002880704544,2.3141217284227276,2.314193037053637,2.314235822232182,2.314261493339309,2.3142768960035855
64,1.6872,1.93824,2.088704,2.1789503999999997,2.2330918399999997,2.2655754239999997,2.2850653184,2.29675920384,2.303775524864,2.3079853154304004,2.3105111893606405,2.3120267136368646,2.312936028186215,2.313481616912548,2.3138089701476927,2.3140053820886486,2.314123229253196,2.314193937551919,2.314236362531152,2.314261817518691,2.3142770905112147,2.3142862543067286
65,1.6511,1.9165800000000002,2.075708,2.1711528,2.2284132800000003,2.262768288,2.2833810368,2.29574863488,2.303169183488,2.3076215106048,2.31029290646528,2.3118957438996484,2.312857446343885,2.3134344678071503,2.313780680684454,2.3139884084107054,2.31411304504643,2.314187827027859,2.314232696216716,2.3142596177300296,2.3142757706380177,2.3142854623828106
67,1.561,1.86252,2.043272,2.1516912,2.21673632,2.2557621119999998,2.2791773311999997,2.29322641152,2.301655849472,2.3067135101952,2.30974810621952,2.3115688637521923,2.312661318255411,2.313316790954066,2.3137100745726036,2.313946044743595,2.314087626846164,2.3141725761077,2.3142235456646203,2.3142541273987725,2.3142724764392635,2.314283485863558
68,2.1411,2.21058,2.252108,2.2769928,2.29191728,2.300870688,2.3062424767999996,2.30946549888,2.311399301888,2.3125595816448,2.3132557490892802,2.3136734494740483,2.313924069688525,2.3140744418139345,2.3141646650885246,2.3142187990531475,2.314251279431895,2.3142707676591385,2.3142824605954835,2.31428947635729,2.3142936858143743,2.3142962114886245
69,2.273,2.28972,2.299592,2.3054832,2.30901152,2.3111272319999996,2.3123964031999997,2.31315785472,2.313614715392,2.3138888297472002,2.3140532979507205,2.314151978790912,2.3142111872786435,2.3142467123680053,2.314268027420967,2.314280816452613,2.3142884898715748,2.314293093922946,2.314295856353768,2.314297513812261,2.3142985082873566,2.314299104972414
70,0.3814,1.15476,1.618616,1.8968976,2.06386016,2.164036416,2.2241419136,2.26020516096,2.281843099136,2.2948258599936002,2.30261551609856,2.307289309679616,2.310093585811866,2.3117761514879387,2.312785690892927,2.313391414535789,2.31375484872148,2.3139729092328896,2.314103745539734,2.3141822473238403,2.314229348394304,2.3142576090365825
71,1.4269,1.78206,1.994996,2.1227256,2.19935696,2.245334496,2.2729207616,2.28947246976,2.299403484416,2.3053620911616,2.3089372547993605,2.3110823529000966,2.312369411744154,2.3131416470473116,2.313604988228551,2.3138829929371636,2.3140497957623047,2.3141498774573845,2.314209926474431,2.3142459558846586,2.3142675735307954,2.3142805441184775
72,0.6796,1.33368,1.725968,1.9613087999999999,2.10250688,2.187224448,2.2380547328000002,2.26855285248,2.2868517140480003,2.2978310289408004,2.3044186174668804,2.3083711705006085,2.310742702304461,2.312165621383496,2.3130193728302615,2.3135316236981898,2.3138389742189203,2.3140233845313536,2.3141340307188125,2.3142004184312874,2.3142402510587727,2.314264150635264
74,3.2362,2.8672400000000002,2.646024,2.5133264000000004,2.4337142400000005,2.3859482240000003,2.3572888704000006,2.3400933094400003,2.329775983104,2.3235855893504,2.31987135350784,2.317642812084224,2.3163056872464387,2.315503412347044,2.3150220474080627,2.314733228444805,2.3145599370668766,2.3144559622401246,2.3143935773440747,2.314356146406445,2.3143336878438667,2.31432021270632
75,4.4653,3.6047000000000002,3.0885,2.778812,2.5930055999999997,2.48152304,2.41463376,2.3745002432,2.35042014336,2.3359720855040003,2.3273032512,2.32210195069952,2.3189811704156162,2.3171087022485506,2.3159852213489667,2.3153111328093474,2.314906679685602,2.31466400781136,2.3145184046868157,2.3144310428120893,2.3143786256872536,2.314347175412352
